level,CEFR,主題,english_word,KK音標,中譯,例句,翻譯,例句2,翻譯2,Year_1,Part_1,Source_1,詞性,詞性變化,片語,同義字,反義字,易混淆字,字首,字尾,字根,意思,例子
4,,氣候,hurricane,/ˋhɝɪ͵ken/,(n.) 颶風,The hurricane caused widespread damage along the coast.,颶風沿著海岸線造成了廣泛的破壞。,,,,,,名詞,名詞: 可數；複數: hurricanes,,cyclone (n.); typhoon (n.); tempest (n.),calm (n.); stillness (n.),cane (n.); crane (n.),,,,,
4,C1,氣候,preservation,/͵prɛzɚˋveʃən/,(n.) 保存；維護,The preservation of historical sites is crucial for understanding our past.,歷史遺跡的保存對於理解我們的過去至關重要。,,,,,,名詞,名詞: 不可數,,conservation (n.); protection (n.); safekeeping (n.),destruction (n.); neglect (n.),reservation (n.); observation (n.),pre-,-ation,,before (之前),"preheat (預熱), preview (預覽), prefix (前綴), pre-test (預測試), pre-war (戰前)"
4,,氣候,rainfall,/ˋren͵fɔl/,(n.) 降雨量；下雨,Heavy rainfall caused the river to overflow its banks.,大量降雨導致河水氾濫。,The sea snakes' population distribution is closely related to rainfall.,海蛇的族群分佈與降雨量密切相關。,105學測,閱讀測驗-答案選項,Question 56,名詞,名詞: 不可數,,precipitation (n.); shower (n.); downpour (n.),drought (n.); dry season (n.),waterfall (n.); downfall (n.),,,,,
4,B2,氣候,solar,/ˋsolɚ/,(adj.) 太陽的；利用太陽能的,Many countries are developing solar energy to replace traditional fossil fuels.,許多國家正在發展太陽能以取代傳統的化石燃料。,,,學測,,,形容詞,形容詞: 無常用比較級／最高級,,sunny (adj.); sunlit (adj.); heliacal (adj.),lunar (adj.); nocturnal (adj.),polar (adj.); molar (n./adj.),,-ar,,pertaining to; like (屬於…的；像…的),"polar (極地的), solar (太陽的), stellar (星的)"
4,B2,氣候,species,/ˋspiʃiz ˋspisiz/,(n.) 物種；種類,Scientists are working hard to protect endangered species from extinction.,科學家們正在努力保護瀕臨絕種的物種。,"To me, a zoo can be a good place for endangered species which have difficulty finding suitable mates in the wild.",對我來說，動物園可以成為瀕臨滅絕物種的好地方，這些物種在野外很難找到合適的伴侶。,114學測,混合題-文本,Forum D,名詞,名詞: 單複同形: species,,type (n.); kind (n.); variety (n.),hybrid (n.); mongrel (n.),space (n.); special (adj.),,-ies,,plural form of -y words (-y 字尾的複數),"species (物種), valleys (山谷), skies (天空)"
4,B2,氣候,surroundings,/səˋraʊndɪŋz/,(n.) 環境；周圍的事物,The beautiful surroundings made our picnic very enjoyable.,美麗的環境讓我們的野餐非常愉快。,,,學測,,,名詞,名詞: 恆用複數: surroundings,,environment (n.); setting (n.); environs (n.),void (n.); nothingness (n.),surrounding (adj.); sounding (n./adj.),sur-,-ings,,over; above (在…之上),"surface (表面), surpass (超越), surround (環繞)"
5,B2,氣候,carbon,/ˋkɑrbən/,(n.) 碳；複寫紙,Carbon dioxide is a gas produced when we breathe out.,二氧化碳是我們呼氣時產生的一種氣體。,Its manufacture also leaves a smaller carbon footprint.,它的製造也留下了更小的碳足跡。,108學測,綜合測驗,Passage for Q21-25,名詞,名詞: 不可數；專業用法複數: carbons,,graphite (n.); coal (n.); charcoal (n.),oxygen (n.); hydrogen (n.),carton (n.),,-on,,particle; unit (粒子；單位),"carbon (碳), neutron (中子), horizon (地平線)"
5,B2,氣候,conservation,/͵kɑnsɚˋveʃən/,(n.) (對自然環境等的)保護；保存；節約,"Water conservation is crucial, especially during droughts.",水資源保護至關重要，尤其在乾旱時期。,"While early zoos put emphasis on displaying as many unusual creatures as possible, most modern zoos now focus on conservation and education.",早期動物園著重於展示盡可能多不尋常的生物，而大多數現代動物園現在則專注於保育和教育。,114學測,混合題-文本,Prompt for Q47-50,名詞,名詞: 不可數,,preservation (n.); protection (n.); stewardship (n.),waste (n./v.); exploitation (n.),conversation (n.); consideration (n.),con-,-ation,,together; with (共同；一起),"connect (連結), conserve (保存), converge (匯聚)"
5,C2,氣候,drought,/draʊt/,(n.) 乾旱；旱災,The long drought caused severe water shortages.,長期乾旱導致嚴重的水資源短缺。,,,,,,名詞,名詞: 可數；複數: droughts,,dry spell (n.); aridity (n.); parched period (n.),flood (n.); deluge (n.),draught (n.); dough (n.),,,,,
5,C1,氣候,ecology,/ɪˋkɑlədʒɪ/,(n.) 生態學；生態環境,Studying ecology helps us understand how living things interact with their environment.,學習生態學幫助我們了解生物如何與其環境互動。,,,,,,名詞,名詞: 可數；複數: ecologies,,environmental science (n.); ecosystem study (n.); biology (n.),imbalance (n.); destruction (n.),apology (n.); biology (n.),eco-,-y,,home; environment (家園；環境),"ecosystem (生態系), ecology (生態學), ecofriendly (環保的)"
5,,氣候,ecosystem,/ˋɛko͵sɪstəm/,(n.) 生態系統,A healthy forest is a complex ecosystem where plants and animals depend on each other.,健康的森林是一個複雜的生態系統，其中動植物互相依存。,"There would be a real chance of running aground and damaging the ship and the cargo, some of which might be dangerous if released into a water-based ecosystem.",將會有擱淺並損壞船隻和貨物的實際風險，其中有些貨物如果釋放到水生生態系統中可能會很危險。,109學測,閱讀測驗-文本,Passage for 45-48,名詞,名詞: 可數；複數: ecosystems,,biome (n.); community (n.); environment (n.),wasteland (n.); barrenness (n.),system (n.),eco-,,,home; environment (家園；環境),"ecosystem (生態系), ecology (生態學), ecofriendly (環保的)"
5,C1,氣候,emission,/ɪˋmɪʃən/,(n.) 排放(物)；散發,Car emissions contribute to air pollution and climate change.,汽車排放物導致空氣汙染和氣候變遷。,,,,,,名詞,名詞: 可數；複數: emissions,,discharge (n.); release (n.); output (n.),absorption (n.); capture (n.),mission (n.); omission (n.); permission (n.),e-,-ion,miss,send (送),"submit (提交), mission (任務), permission (許可), transmit (傳輸), dismiss (解雇), missile (導彈)"
5,C1,氣候,habitat,/ˋhæbə͵tæt/,(n.) (動植物的)棲息地,The destruction of forests threatens the habitats of many animals.,森林的破壞威脅到許多動物的棲息地。,"In the Indian state of Assam, growing numbers of tea farms are destroying the Asian elephant's habitats and endangering their population.",在印度阿薩姆邦，越來越多的茶園正在破壞亞洲象的棲息地，並危及牠們的族群。,112學測,閱讀測驗-文本,Passage for 39-42,名詞,名詞: 可數；複數: habitats,,home (n.); environment (n.); niche (n.),wasteland (n.); barren area (n.),habit (n.); habitual (adj.),,-at,,action or result (動作或結果),"habitat (棲地), climate (氣候), format (格式)"
5,C2,氣候,mount,/maʊnt/,(n./v.) (常大寫用於山名前)山峰；底座；乘用馬,"Mount Everest is the highest mountain in the world, attracting climbers from everywhere.",聖母峰是世界上最高的山，吸引著來自各地的登山者。,"Mounted in the two tall towers of the cathedral, Notre-Dame's bells have been ringing for over 800 years.",裝置在教堂兩座高聳的塔樓中，巴黎聖母院的鐘聲已敲響了八百多年。,114學測,文意選填,Passage for Q21-30,名詞；動詞,"名詞: 可數；複數: mounts
動詞: 過去式: mounted; 過去分詞: mounted; 現在分詞: mounting; 第三人稱: mounts",mount up,climb (v.); ascend (v.); scale (v.),dismount (v.); descend (v.),count (v./n.); amount (n.),,,,,
5,C1,氣候,sustainable,/səˋstenəb!/,(adj.) 可持續的；能維持的,We need to find sustainable ways to produce energy without harming the environment.,我們需要找到可持續的能源生產方式，同時不傷害環境。,"Following him, many local people opened their own bookshops, and the small town soon became a model of sustainable rural development and tourism.",跟隨他的腳步，許多當地居民也開了自己的書店，這個小鎮很快就成為了永續鄉村發展和觀光的典範。,111學測,綜合測驗,Passage for 11-15,形容詞,形容詞: 比較級: more sustainable; 最高級: most sustainable,,renewable (adj.); viable (adj.); enduring (adj.),unsustainable (adj.); wasteful (adj.),suitable (adj.); attainable (adj.),sus-,-able,,lift up; maintain (支撐；維持),"sustain (維持), suspend (懸掛), susceptible (易受影響的)"
5,B1,氣候,wildlife,/ˋwaɪld͵laɪf/,(n.) 野生生物(總稱),"The national park is home to a diverse range of wildlife, including bears and eagles.",這個國家公園是各種野生生物的家園，包括熊和老鷹。,Wildlife encounters are unforgettable experiences for children and adults alike.,與野生動物的邂逅對兒童和成人來說都是難忘的經驗。,114學測,混合題-文本,Forum C,名詞,名詞: 不可數；單複同形: wildlife,,fauna (n.); animals (n.); creatures (n.),domestic animals (n.); livestock (n.),wild (adj.); life (n.),,,,,
6,,氣候,glacier,/ˋgleʃɚ/,(n.) 冰河；冰川,"The majestic glacier slowly moved down the valley, carving out the landscape over thousands of years.",雄偉的冰河緩慢地沿著山谷移動，在數千年裡雕塑著地貌。,"“The mountains and valleys are the arms and legs of their god and the glaciers are the head,"" explained the head researcher.",首席研究員解釋說：「山脈和山谷是他們神的臂膀和雙腿，而冰川則是頭部。」,110學測,綜合測驗,Passage for 26-30,名詞,名詞: 可數；複數: glaciers,,ice sheet (n.); icefield (n.); ice mass (n.),lava (n.); desert (n.),grace (n.); glazier (n.),,-ier,,person or thing associated with (與…相關的人／物),"glacier (冰河), cashier (出納員), clothier (成衣商)"
6,C1,氣候,ozone,/ˋozon/,(n.) 臭氧,The ozone layer protects Earth from harmful UV radiation.,臭氧層保護地球免受有害紫外線輻射。,,,,,,名詞,名詞: 不可數,,trioxygen (n.); O3 (n.); ozone layer (n.),smog (n.); pollutants (n.),zone (n.); one (num.),,-e,,thing or substance; noun ending (事物；名詞尾),"ozone (臭氧), dune (沙丘), core (核心)"
6,,氣候,polar,/ˋpolɚ/,(adj.) 極地的；兩極的；(性質)正好相反的,Polar bears live in the cold polar regions of the Arctic.,北極熊生活在北極寒冷的極地地區。,My childhood memory of a polar bear pacing back and forth in a very small space in a zoo keeps haunting me.,我小時候在動物園看到一隻北極熊在非常小的空間裡來回踱步，這段記憶一直困擾著我。,114學測,混合題-文本,Forum E,形容詞,形容詞: 比較級: more polar; 最高級: most polar,,arctic (adj.); frigid (adj.); icy (adj.),equatorial (adj.); tropical (adj.),solar (adj.); popular (adj.),,-ar,,pertaining to; like (屬於…的；像…的),"polar (極地的), solar (太陽的), stellar (星的)"
6,,氣候,swamp,/swɑmp/,(n./v.) 沼澤；濕地；困境,"Crocodiles live in the swamp, a very wet and muddy area.",鱷魚住在沼澤裡，那是一個非常潮濕泥濘的地區。,,,,,,名詞；動詞,"名詞: 可數；複數: swamps
動詞: 過去式: swamped; 過去分詞: swamped; 現在分詞: swamping; 第三人稱: swamps",be swamped with...,marsh (n.); bog (n.); wetland (n.),desert (n.); dry land (n.),stamp (n./v.); swap (v./n.),,,,,
6,B2,氣候,tornado,/tɔrˋnedo/,(n.) 龍捲風,"The powerful tornado tore through the town, leaving a path of destruction.",那股強大的龍捲風肆虐城鎮，留下了一條破壞的痕跡。,,,,,,名詞,名詞: 可數；複數: tornadoes/tornados,,twister (n.); cyclone (n.); whirlwind (n.),calm (n.); still air (n.),torpedo (n.),,-ado,,characterized by force or motion (具有力量或動感),"tornado (龍捲風), bravado (虛張聲勢), desperado (亡命之徒)"
6,,氣候,torrent,/ˋtɔrənt/,(n.) 洪流；急流；(話語、情感的)迸發,"After the heavy rain, a torrent of water rushed down the mountain.",大雨過後，一股洪流從山上沖瀉而下。,,,,,,名詞,名詞: 可數；複數: torrents,,downpour (n.); deluge (n.); stream (n.),trickle (n./v.); drip (n./v.),current (n./adj.); parent (n.),,-ent,,having the quality of; thing that (具有…特質；事物),"current (水流), nutrient (營養素), torrent (急流)"
6,,氣候,tropic,/ˋtrɑpɪk/,(n./adj.) (南、北)回歸線；(the T-s)熱帶地區,"Taiwan lies partly in the tropics, enjoying a warm, humid climate.",台灣部分位於熱帶地區，享有溫暖潮濕的氣候。,,,,,,名詞；形容詞,名詞: 複數: tropics；形容詞: 無常用比較級,,tropical zone (n.); equatorial region (n.); hot belt (n.),polar zone (n.); temperate zone (n.),topic (n.); tragic (adj.),,-ic,,relating to; characteristic of (具…特性),"tropic (熱帶的), arctic (北極的), volcanic (火山的)"
